iter	Passed	Remaining
828	3858	795
829	3863	791
830	3868	786
831	3874	782
832	3878	777
833	3882	772
834	3886	767
835	3890	763
836	3894	758
837	3899	753
838	3903	749
839	3908	744
840	3912	739
841	3917	735
842	3922	730
843	3926	725
844	3931	721
845	3936	716
846	3940	711
847	3944	707
848	3948	702
849	3952	697
850	3957	692
851	3962	688
852	3967	683
853	3972	679
854	3977	674
855	3981	669
856	3985	665
857	3991	660
858	3996	655
859	4001	651
860	4006	646
861	4011	642
862	4016	637
863	4021	633
864	4025	628
865	4031	623
866	4035	619
867	4040	614
868	4044	609
869	4048	604
870	4052	600
871	4057	595
872	4061	590
873	4065	586
874	4070	581
875	4075	576
876	4079	572
877	4083	567
878	4089	562
879	4094	558
880	4100	553
881	4104	549
882	4109	544
883	4113	539
884	4119	535
885	4123	530
886	4127	525
887	4131	521
888	4136	516
889	4140	511
890	4145	507
891	4150	502
892	4154	497
893	4159	493
894	4162	488
895	4167	483
896	4172	479
897	4176	474
898	4181	469
899	4187	465
900	4192	460
901	4197	456
902	4203	451
903	4208	446
904	4213	442
905	4218	437
906	4224	433
907	4228	428
908	4233	423
909	4238	419
910	4243	414
911	4247	409
912	4251	405
913	4255	400
914	4259	395
915	4264	391
916	4269	386
917	4273	381
918	4279	377
919	4283	372
920	4289	367
921	4293	363
922	4298	358
923	4302	353
924	4306	349
925	4310	344
926	4316	339
927	4320	335
928	4324	330
929	4329	325
930	4334	321
931	4338	316
932	4343	311
933	4349	307
934	4353	302
935	4358	298
936	4363	293
937	4368	288
938	4373	284
939	4378	279
940	4383	274
941	4388	270
942	4393	265
943	4398	260
944	4402	256
945	4407	251
946	4413	246
947	4418	242
948	4422	237
949	4427	233
950	4432	228
951	4438	223
952	4442	219
953	4446	214
954	4450	209
955	4455	205
956	4460	200
957	4464	195
958	4468	191
959	4473	186
960	4477	181
961	4481	177
962	4485	172
963	4489	167
964	4495	163
965	4498	158
966	4503	153
967	4507	148
968	4511	144
969	4515	139
970	4519	134
971	4524	130
972	4528	125
973	4534	121
974	4538	116
975	4542	111
976	4548	107
977	4552	102
978	4556	97
979	4561	93
980	4566	88
981	4571	83
982	4577	79
983	4582	74
984	4587	69
985	4592	65
986	4597	60
987	4603	55
988	4608	51
989	4613	46
990	4618	41
991	4625	37
992	4631	32
993	4637	27
994	4648	23
995	4656	18
996	4663	14
997	4668	9
998	4674	4
999	4681	0
